list,company,list_eng,list_km,list_lo,list_my,list_zh
ลดไข้ บรรเทาอาการปวด,A,Reduce fever and relieve pain,កាត់បន្ថយគ្រុនក្តៅ និងបំបាត់ការឈឺចាប់,ລົດໄຂ້ແລະບັນເທົາຄວາມເຈັບປວດ,အဖျားလျော့နည်းစေပြီး နာကျင်မှုကို သက်သာစေပါ,退烧缓解疼痛
ช่วยให้ปากสะอาด,A,Helps keep your mouth clean,ជួយរក្សាមាត់របស់អ្នកឱ្យស្អាត,ຊ່ວຍຮັກສາປາກໃຫ້ສະອາດ,သင့်ပါးစပ်ကို သန့်ရှင်းစေပါ,有助于保持口腔清洁
ที่ตรวจการตั้งครรภ์,A,Pregnancy Tests,ការធ្វើតេស្តការមានផ្ទៃពោះ,ການທົດສອບການຖືພາ,ကိုယ်ဝန်ဆောင်စမ်းသပ်မှုများ,孕检
หูชั้นกลางอักเสบ,A,otitis media,ប្រព័ន្ធផ្សព្វផ្សាយជំងឺរលាកត្រចៀក,Otitis Media,အကြားအာရုံရောင်ရမ်းနာ,中耳炎
แก้ท้องเสีย,A,Relieves diarrhea,បំបាត់ជំងឺរាគ,ບັນເທົາອາການຖອກທ້ອງ,ဝမ်းလျှောခြင်းကို သက်သာစေ,缓解腹泻
รักษาตาติดเชื้อ,A,Treat infected eyes,ព្យាបាលភ្នែកដែលឆ្លងមេរោគ,ປິ່ນປົວຕາທີ່ຕິດເຊື້ອ,ရောဂါကူးစက်နေသောမျက်လုံးများကို ကုသပါ,治疗感染眼部
ป้องกันความเสื่อมของเลนส์ตา ,A,prevents deterioration of the lens of the eye;,ការពារការខូចខាតនៃកញ្ចក់ភ្នែក;,ປ້ອງກັນຄວາມເສື່ອມໂຊມຂອງແວ່ນຕາ;,မျက်လုံးမှန်ဘီလူးယိုယွင်းခြင်းကို ကာကွယ်ပေးသည်။,防止眼睛晶状体的退化;
ลดความดันในตา,A,Reduces pressure in the eyes.,កាត់បន្ថយសម្ពាធនៅក្នុងភ្នែក។,#CONNECT!,မျက်လုံးဖိအားကို လျော့နည်းစေတယ်။,降低眼睛内的压力。
ต้อกระจก,A,Cataracts,ជំងឺបេះដូង,ພະຍາດແກ້ວ,အတွင်းတိမ်,白内障
ฆ่าเชื้อทางเดินปัสสาวะ,A,Disinfect the urinary tract.,សម្លាប់មេរោគលើផ្លូវបង្ហូរទឹកនោម។,ຂ້າເຊື້ອພະຍາດທາງເດີນ.,ဆီးလမ်းကြောင်းကို ပိုးသတ်ပါ။,消毒尿路。
รักษาไซนัสอักเสบ,A,Treatment of sinusitis,ការព្យាបាលជំងឺរលាកច្រមុះ,ການປິ່ນປົວ sinusitis,အနှောင့်အယှက်ရောင်ရောဂါ ကုသမှု,鼻窦炎的治疗
รักษาอาการคันจากเชื้อรา,A,Treatment of fungal itching,ការព្យាបាលរមាស់ផ្សិត,ການປິ່ນປົວພະຍາດເຊື້ອເຫັດ,မှိုယားခြင်းကုသမှု,真菌瘙痒的治疗
รักษาอาการคันจากเชื้อราและแบคทีเรีย,A,Treats itching caused by fungi and bacteria.,ព្យាបាលការរមាស់ដែលបណ្តាលមកពីផ្សិត និងបាក់តេរី។,ປິ່ນປົວຄວາມອັດສະຈັນທີ່ເກີດຈາກເຊື້ອເຫັດແລະບັກເຕເຣຍ.,မှိုနှင့် ဘက်တီးရီးယားတို့ကြောင့် ဖြစ်ပေါ်လာသော ယားယားခြင်းကို ကုသပေးသည်။,治疗由真菌和细菌引起的瘙痒。
ลดบวม ลดอักเสบ,A,Reduce swelling Reduce inflammation,កាត់បន្ថយការហើម កាត់បន្ថយការរលាក,ຫລຸດຜ່ອນການພອງ ຫລຸດຜ່ອນການອັກເສບ,ရောင်ရမ်းခြင်းကို လျော့နည်းစေပါ ရောင်ရမ်းမှုကို လျှော့ချပါ,减轻肿胀减少炎症
เลื่อนประจำเดือน,A,Postponement of menstruation,ការពន្យារពេលនៃការមករដូវ,ເລື່ອນປະຈໍາເດືອນ,ရာသီလာချိန်ရွှေ့ဆိုင်းခြင်း,月经推迟
เยื่อหุ้มสมองอักเสบ,A,Meningitis,ជំងឺរលាកសួត,Meningitis,ဦးနှောက်ရောင်ရောဂါ,脑膜炎
ฆ่าเชื้อที่ผิวหนัง,A,Disinfects the skin.,សម្លាប់មេរោគស្បែក។,ທໍາ ລາຍ ຜິວ ຫນັງ.,အရေပြားကို ပိုးသတ်ဆေးပေးသည်။,消毒皮肤。
รักษาช่องคลอดติดเชื้อ,A,Treatment of vaginal infections,ការព្យាបាលការឆ្លងមេរោគទ្វារមាស,ການປິ່ນປົວການຕິດເຊື້ອໃນຊ່ອງ,vagina ကူးစက်ရောဂါကုသမှု,阴道感染的治疗
เสริมแคลเซียม,A,Calcium supplementation,អាហារបំប៉នកាល់ស្យូម,ການເພີ່ມເຕີມ calcium,ကယ် လီ ယံ ဓာတ် ဖြည့်စွက် ခြင်း,钙补充
ลดกรด ขับลม ,A,"Reduce acid, expel wind.",កាត់បន្ថយអាស៊ីត បណ្តេញខ្យល់ចេញ។,"ລົດກົດ, ຂັບໄລ່ລົມອອກ.",အက်ဆစ်လျှော့ချ၊ လေကို ထုတ်ပစ်ပါ။,减少酸液，排风。
ลดอาการแสบท้องและหลอดอาหาร,A,Reduces abdominal and esophageal burning.,កាត់បន្ថយការដុតពោះ និងបំពង់អាហារ។,ຫລຸດຜ່ອນການເຜົາໄຫມ້ໃນທ້ອງ ແລະ ລະບົບອາຫານ.,ဝမ်းဗိုက်နှင့် အစာခေါင်းပူလောင်မှုကို လျော့နည်းစေသည်။,减少腹部和食管灼烧感。
แก้ปวดกระเพาะปัสสาวะ,A,relieves bladder pain;,បំបាត់ការឈឺចាប់ប្លោកនោម;,ບັນເທົາຄວາມເຈັບປວດໃນຖົງທ້ອງ;,ဆီးအိမ်နာကျင်မှုကို သက်သာစေသည်။,缓解膀胱疼痛;
เพิ่มจุลินทรีย์ในลำไส้ และทางเดินปัสสาวะ,A,Increase the microflora in the intestines and urinary tract.,បង្កើន microflora នៅក្នុងពោះវៀន និងផ្លូវបង្ហូរទឹកនោម។,ເພີ່ມຈຸລິນຊີໃນลําไส้ ແລະ ທາງເດີນ.,အူနှင့် ဆီးလမ်းကြောင်းတွင် အဏုဇီဝပိုးမွှားများကို တိုးများစေပါ။,增加肠道和泌尿道的微生物群。
เพิ่มกากใย ช่วยให้ระบาย,A,Increase fiber to help drain.,បង្កើនជាតិសរសៃដើម្បីជួយបង្ហូរទឹក។,ເພີ່ມເສັ້ນໃຍເພື່ອຊ່ວຍລະບາຍນໍ້າ.,အမျှင်ကို တိုးမြှင့်ပေးပါ။,增加纤维有助于排水。
ท้องเสีย จุกเสียด,A,"Diarrhea, colic.","រាគ, colic.","ຖອກທ້ອງ, ໂສກເສົ້າ.",ဝမ်းလျှောခြင်း၊ ဝမ်းလျှောခြင်း။,腹泻，肠绞痛。
ยาคุมกำเนิด,A,Birth control pills,ថ្នាំពន្យារកំណើត,ຢາຄຸມກໍາເນີດ,သန္ဓေတားဆေး,避孕药
ระงับความอยากบุหรี่,A,Suppressing the craving for cigarettes,ទប់ស្កាត់ចំណង់បារី,ລະງັບຄວາມຢາກສູບຢາ,စီးကရက်သောက်ချင်စိတ်ကို ထိန်းချုပ်ခြင်း,抑制对香烟的渴望
เพิ่มความชุ่มชื้นในโพรงจมูก ,A,Increases moisture in the nasal cavity.,បង្កើនសំណើមនៅក្នុងប្រហោងច្រមុះ។,ເພີ່ມຄວາມຊຸ່ມເຢັນໃນຊ່ອງດັງ.,နှာခေါင်းခေါင်းထဲတွင် အစိုဓာတ်တိုးများစေသည်။,增加鼻腔湿度。
ช่วยลดกลิ่นปาก ชุ่มคอ,A,Helps reduce bad breath and moisten the throat,ជួយកាត់បន្ថយការដកដង្ហើមមិនល្អ និងផ្តល់សំណើមដល់បំពង់ក,ຊ່ວຍຫລຸດຜ່ອນກິ່ນຫອມແລະເຮັດໃຫ້ຄໍຊຸ່ມ,ခံတွင်းအနံ့ကို လျော့နည်းစေပြီး လည်ချောင်းကို စိုစွတ်စေသည်,有助于减少口臭并润润喉咙
ยั้บยั้งแบคทีเรีย ลดกลิ่นปาก ชุ่มคอ,A,"Inhibits bacteria, reduces bad breath, moistens the throat.",ទប់ស្កាត់បាក់តេរី កាត់បន្ថយក្លិនដង្ហើម សំណើមបំពង់ក។,"ຢັບຢັ້ງບັກເຕເຣຍ, ລົດກິ່ນຫອມ, ເຮັດໃຫ້ຄໍຊຸ່ມ.",ဘက်တီးရီးယားကို တားဆီးပေးပြီး ခံတွင်းအနံ့ကို လျော့နည်းစေပြီး လည်ချောင်းကို စိုစွတ်စေသည်။,抑制细菌，减少口臭，滋润喉咙。
บรรเทาอาการไอ ชุ่มคอ ละลายเสมหะ,A,"Relieves cough, moistens throat, dissolves phlegm.",បំបាត់ការក្អក សំណើមបំពង់ក រំលាយ phlegm ។,"ບັນເທົາໄອ, ປຽກຄໍ, ລະລາຍຂີ້ເຫຍື້ອ.",ချောင်းချောင်းကို သက်သာစေပြီး လည်ချောင်းစိုစေပြီး ချွေးကို အရည်ပျော်စေသည်။,缓解咳嗽，润湿喉咙，溶解痰。
ลดการอักเสบบริเวณช่องปากและลำคอ,A,Reduces inflammation in the mouth and throat,កាត់បន្ថយការរលាកនៅក្នុងមាត់ និងបំពង់ក,ລົດການອັກເສບໃນປາກ ແລະ ຄໍ,ပါးစပ်နှင့် လည်ချောင်းတွင် ရောင်ရမ်းမှုကို လျော့နည်းစေသည်,减少口腔和喉咙的炎症
ขยายหลอดเลือด,A,Dilates blood vessels.,ពង្រីកសរសៃឈាម។,ຂະຫຍາຍເສັ້ນເລືອດ.,သွေးကြောများကို ကျယ်ပြန့်စေသည်။,扩张血管。
ยาคุมฉุกเฉิน,A,Emergency contraceptive pills,ថ្នាំពន្យារកំណើតសង្គ្រោះបន្ទាន់,ຢາຄຸມກໍາເນີດສຸກເສີນ,အရေးပေါ် သန္ဓေတားဆေး,紧急避孕药
ยาต้านเกล็ดเลือด,A,Antiplatelet drugs,ថ្នាំប្រឆាំង platelet,ຢາຕ້ານເລືອດເລືອດ,သွေးကြောတိုက်ဖျက်ဆေးများ,抗血小板药物
บรรเทาอาการบ้านหมุน,A,Relieve spinning house symptoms,បំបាត់រោគសញ្ញាផ្ទះវិល,ບັນເທົາອາການຂອງເຮືອນປິ່ນ,လည်နေသောအိမ်ရောဂါလက္ခဏာများကို သက်သာစေပါ,缓解旋转屋症状
นอนไม่หลับ คลายกังวล,A,"Insomnia, relieve anxiety",ការគេងមិនលក់ បំបាត់ការថប់បារម្ភ,"ນອນບໍ່ຫຼັບ, ບັນເທົາຄວາມກະວົນກະວາຍ",အိပ်မပျော်ခြင်း၊ စိုးရိမ်ပူပန်မှုကို လျော့ပါးစေခြင်း,失眠，缓解焦虑
ขับปัสสาวะ,A,Diuretic,ឌីយ៉ូទិក,ຢາ ປິ່ນປົວ,ဆီးဆေး,利尿剂
ละลายและขับนิ่ว,A,dissolves and expels stones;,រំលាយនិងបណ្តេញថ្ម;,ລະລາຍ ແລະ ຂັບໄລ່ກ້ອນຫີນອອກ;,ကျောက်တုံးများကို အရည်ပျော်စေပြီး ထုတ်ပစ်သည်။,溶解并排出石头;
ป้องกันการทำลายตับ,A,Prevents liver damage,ការពារការខូចខាតថ្លើម,ປ້ອງກັນຄວາມເສຍຫາຍຂອງຕັບ,အသည်း ပျက်စီး ခြင်း ကို တားဆီး,防止肝损伤
โรคหัวใจ,A,Heart disease,ជំងឺបេះដូង,ພະຍາດຫົວໃຈ,နှလုံးရောဂါ,心脏病
ลดไขมันในเลือดสูง,A,Reduce high blood lipids,កាត់បន្ថយជាតិខ្លាញ់ក្នុងឈាមខ្ពស់,ຫລຸດຜ່ອນໄຂມັນໃນເລືອດສູງ,သွေး အဆီ မြင့်မား မှု ကို လျှော့ချ,降低高血脂
ลดคลอเรสเตอรอล,A,Lowers cholesterol,កាត់បន្ថយកូឡេស្តេរ៉ុល,ລົດໂຄເລສະເຕີລ໌,ကိုလက်စထရောကို လျှော့ချ,降低胆固醇
ลดไตรกลีเซอไรด์,A,Reduce triglycerides,កាត់បន្ថយទ្រីគ្លីសេរីដ,ຫລຸດຜ່ອນ triglycerides,ထရိုင်ဂလီစရိတ်ကို လျှော့ချပါ,减少甘油三酯
ปรับฮอร์โมน,A,Adjust hormones,កែសម្រួលអ័រម៉ូន,ປັບຮອກໂມນ,ဟော်မုန်းများကို ညှိပေးပါ,调整激素
กำจัดเหา,A,Get rid of lice,កម្ចាត់ចៃ,ກໍາຈັດໄຂ່,သန်းများကို ဖယ်ရှားပါ,清除虱子
บรรเทาอาการอ่อนเพลีย,A,relieves fatigue;,បំបាត់ភាពអស់កម្លាំង;,ບັນເທົາຄວາມອິດເມື່ອຍ;,မောပန်းနွမ်းနယ်မှုကို သက်သာစေသည်။,缓解疲劳;
ช่วยเสริมการทำงานของสมอง,A,Supports brain function,គាំទ្រមុខងារខួរក្បាល,ສະຫນັບສະຫນູນຫນ້າທີ່ຂອງສະຫມອງ,ဦးနှောက်လုပ်ဆောင်မှုကို ထောက်ပံ့ပေးသည်,支持大脑功能
บำรุงผิวพรรณ,A,Skin Care,ថែរក្សាស្បែក,ການເບິ່ງແຍງຜິວຫນັງ,အရေပြားစောင့်ရှောက်မှု,护肤
เสริมสมรรถภาพทางเพศ ,A,Sexual Enhancement,ការលើកកម្ពស់ផ្លូវភេទ,ການເພີ່ມທະວີທາງເພດ,လိင်ဆိုင်ရာတိုးမြှင့်ခြင်း,性增强
บำรุงผม ผิว เล็บ ชะลอริ้วรอย ลดคลอเรสเตอรอล,A,"Nourishes hair, skin, nails, slows down aging, lowers cholesterol.",ចិញ្ចឹមសក់ ស្បែក ក្រចក បន្ថយភាពចាស់ កាត់បន្ថយកូឡេស្តេរ៉ុល។,"ບໍາລຸງຜົມ, ຜິວຫນັງ, ຕະປູ, ຊັກຊ້າຄວາມເຖົ້າແກ່, ລົດໂຄເລສະເຕີລ໌.",ဆံပင်၊ အရေပြား၊ လက်သည်းများကို အာဟာရပေးပြီး အိုမင်းခြင်းကို နှေးကွေးစေပြီး ကိုလက်စထရောကို လျှော့ချပေးသည်။,滋养头发、皮肤、指甲，延缓衰老，降低胆固醇。
ช่วยการเผาผลาญพลังงานให้ดียิ่งขึ้น,A,Helps improve energy metabolism,ជួយបង្កើនការរំលាយអាហារថាមពល,ຊ່ວຍປັບປຸງການປ່ຽນແປງພະລັງງານ,စွမ်းအင် ဇီဝဖြစ်ပွားမှုကို တိုးတက်စေတယ်,有助于改善能量代谢
ฆ่าเชื้อรา,A,Fungicide,ថ្នាំសំលាប់ផ្សិត,ຢາຂ້າເຊື້ອເຫັດ,မှိုသတ်ဆေး,杀菌剂
ฆ่าเชื้อแบคทีเรีย,A,Bactericidal,បាក់តេរី,ຢາຂ້າບັກເຕເຣຍ,ဗက်တီးရီးယားသတ်ဆေး,杀菌剂
เสริมธาตุเหล็ก,A,Iron Supplement,អាហារបំប៉នជាតិដែក,ເຫຼັກເພີ່ມເຕີມ,သံဖြည့်စွက်ဆေး,铁补充剂
บรรเทาอาการปวดเกร็งท้อง,A,relieves abdominal cramps;,បំបាត់ការរមួលក្រពើពោះ;,ບັນເທົາຄວາມເຈັບປວດໃນທ້ອງ;,ဝမ်းဗိုက်ကြောခြင်းကို သက်သာစေသည်။,缓解腹部痉挛;
แก้จุกเสียด แน่นท้อง ขับลม ,A,"Relieves colic, abdominal tightness, and flatulence.",បំបាត់ការឈឺចាប់ តឹងពោះ និងហើមពោះ។,"ບັນເທົາອາການເຈັບປວດ, ເຈັບທ້ອງ ແລະ ອາການອາຫານ.",ဝမ်းဗိုက်တင်းကျပ်ခြင်းနှင့် ဗိုက်ဖောင်းခြင်းကို သက်သာစေသည်။,缓解绞痛、腹部紧绷和。
แก้ท้องอืดท้องเฟ้อ,A,Relieve bloating and flatulence.,បំបាត់ការហើមពោះ និងហើមពោះ។,ບັນເທົາອາການພອງອາຫານແລະອາຫານອາຫານ.,ဖောင်းဖောင်းခြင်းနှင့် ဗိုက်ဖောင်းခြင်းကို သက်သာစေပါ။,缓解腹胀和。
แก้คลื่นไส้ อาเจียน,A,Relieves nausea and vomiting.,បំបាត់ចង្អោរ និងក្អួត។,ບັນເທົາອາການປ້ອງກັນແລະຮາກ.,အန်အန်ခြင်းတို့ကို သက်သာစေသည်။,缓解恶心和呕吐。
บรรเทาอาการตาแห้ง,A,Relieves dry eyes,បំបាត់ភ្នែកស្ងួត,ບັນເທົາຕາແຫ້ງ,မျက်လုံးခြောက်ခြင်းကို သက်သာစေ,缓解干眼症
ล้างตา,A,Wash your eyes.,លាងភ្នែករបស់អ្នក។,ລ້າງຕາ.,မျက်လုံးကို ဆေးကြောပါ။,洗洗眼睛。
บรรเทาอาการระคายเคืองตา,A,relieves eye irritation;,បំបាត់ការរលាកភ្នែក;,ບັນເທົາຄວາມເຈັບປວດຕາ;,မျက်လုံးယားယားခြင်းကို သက်သာစေသည်။,缓解眼睛刺激;
บรรเทาอาการตาแดง,A,relieves redness of the eyes;,បំបាត់ភាពក្រហមនៃភ្នែក;,ບັນເທົາຕາແດງ;,မျက်လုံးနီခြင်းကို သက်သာစေသည်။,缓解眼睛的红肿;
ลดอักเสบ,A,Reduce inflammation,កាត់បន្ថយការរលាក,ຫລຸດຜ່ອນການອັກເສບ,ရောင်ရမ်းမှုကို လျှော့ချပါ,减少炎症
กำจัดขี้หู,A,Earwax removal,ការដកចេញក្រចកត្រចៀក,ການກໍາຈັດຂີ້ເຫຍື້ອຫູ,နားဖြူဖယ်ရှားခြင်း,耳垢清除
บำรุงร่างกาย ,A,Nourishing the body,ចិញ្ចឹមរាងកាយ,ບໍາລຸງລ້ຽງ ຮ່າງກາຍ,ကိုယ်ခန္ဓာကို အာဟာရပေးခြင်း,滋养身体
บรรเทาอาการ เหน็บชา,A,Relieve symptoms of beriberi,បំបាត់រោគសញ្ញានៃជំងឺ beriberi,ບັນເທົາອາການຂອງພະຍາດ beriberi,ငှက်ဖျားရောဂါလက္ခဏာများကို သက်သာစေပါ,缓解脚气病症状
รักษาโรคโลหิตจาง,A,Treatment of anemia,ការព្យាបាលជំងឺស្លេកស្លាំង,ການປິ່ນປົວພະຍາດເລືອດຕົກ,သွေးအားနည်းခြင်းကုသမှု,贫血治疗
บำรุงสายตา,A,Eye care,ថែរក្សាភ្នែក,ການເບິ່ງແຍງຕາ,မျက်လုံးစောင့်ရှောက်မှု,眼科护理
รักษาหนองใน,A,Treatment of gonorrhea,ការព្យាបាលជំងឺ gonorrhea,ການປິ່ນປົວພະຍາດ gonorrhea,ဂနာရောဂါကုသမှု,淋病治疗
ช่วยบำรุงสมอง และความจำ,A,Helps nourish the brain and memory,ជួយបំប៉នខួរក្បាល និងការចងចាំ,ຊ່ວຍບໍາລຸງສະຫມອງແລະຄວາມຊົງຈໍາ,ဦးနှောက်နှင့် မှတ်ဉာဏ်ကို အာဟာရဖြစ်စေ,有助于滋养大脑和记忆力
ลดคลอเรสเตอรอล ลดไขมันอุดตัน บำรุงตับ,A,"Lowers cholesterol Reduce fat clots, nourish the liver.",កាត់បន្ថយកូឡេស្តេរ៉ុល កាត់បន្ថយការកកស្ទះខ្លាញ់ ចិញ្ចឹមថ្លើម។,"ລົດໂຄເລສະເຕີລ໌ ລົດໄຂມັນກ້າມ, ບໍາລຸງລ້ຽງຕັບ.",ကိုလက်စထရောကို လျှော့ချ အဆီခဲများကို လျှော့ချပြီး အသည်းကို အာဟာရပေးပါ။,降低胆固醇减少脂肪凝块，滋养肝脏。
ลดอาการก่อนมีประจำเดือน ช่วยปัญหาวัยทอง,A,Reduce symptoms before menstruation. Help with menopause problems,កាត់បន្ថយរោគសញ្ញាមុនពេលមករដូវ។ ជួយដោះស្រាយបញ្ហាអស់រដូវ,ຫລຸດຜ່ອນອາການກ່ອນມີປະຈໍາເດືອນ. ຊ່ວຍເຫຼືອບັນຫາໄວຮຸ່ນ,ရာသီမလာမီ လက္ခဏာများကို လျှော့ချပါ။ သွေးဆုံး ခြင်း ပြဿနာ များ အတွက် အကူအညီ,在月经前减轻症状。更年期问题的帮助
ช่วยดูแลสุขภาพ ช่องคลอด,A,Helps take care of vaginal health,ជួយថែរក្សាសុខភាពទ្វារមាស,ຊ່ວຍເບິ່ງແຍງສຸຂະພາບທາງຊ່ອງ,vagina ကျန်းမာရေးကို ဂရုစိုက်ပေးသည်,有助于维护阴道健康
ช่วยควบคุมระดับ คลอเรสเตอรอล,A,Helps regulate cholesterol levels,ជួយគ្រប់គ្រងកម្រិតកូឡេស្តេរ៉ុល,ຊ່ວຍຄວບຄຸມລະດັບ cholesterol,ကိုလက်စထရောပမာဏကို ထိန်းညှိပေးသည်,有助于调节胆固醇水平
บำรุงผม เล็บ ช่วยผลิตสเปริ์มให้แข็งแรง,A,"Nourishes hair and nails, helps produce strong sperm.",ចិញ្ចឹមសក់ និងក្រចក ជួយផលិតមេជីវិតឈ្មោលខ្លាំង។,"ບໍາລຸງຜົມແລະເລັບ, ຊ່ວຍຜະລິດນໍ້າເຊື້ອທີ່ແຂງແຮງ.",ဆံပင်နဲ့ လက်သည်းတွေကို အာဟာရပေးပြီး သုက်ပိုးကို ထုတ်လုပ်ပေးတယ်။,滋养头发和指甲，帮助产生强健的精子。
ป้องกันหวัด บำรุงผิวใส,A,Prevent colds and nourish clear skin.,ការពារជំងឺផ្តាសាយ និងចិញ្ចឹមស្បែកស្អាត។,ປ້ອງກັນໄຂ້ຫວັດ ແລະ ບໍາລຸງຜິວຫນັງທີ່ແຈ່ມໃສ.,အအေးမိခြင်းကို ကာကွယ်ပြီး ကြည်လင်သောအရေပြားကို အာဟာရပေးပါ။,预防感冒，滋养清透的肌肤。
ชะลอ และป้องกันการเกิดริ้วรอยแห่งวัย,A,Slow down and prevent the appearance of aging,បន្ថយល្បឿននិងការពារការលេចឡើងនៃភាពចាស់,ຊັກຊ້າ ແລະ ປ້ອງກັນຄວາມເຖົ້າແກ່,နှေးကွေးစေပြီး အိုမင်းခြင်းကို တားဆီးပါ,放慢速度，防止衰老的迹象出现
เสริมภูมิคุ้มกัน บำรุงผิวพรรณ,A,Strengthen immunity and nourish the skin.,ពង្រឹងភាពស៊ាំ និងចិញ្ចឹមស្បែក។,ເສີມສ້າງພູມຕ້ານທານແລະບໍາລຸງຜິວຫນັງ.,ကိုယ်ခံအားကို ခိုင်ခံ့စေပြီး အရေပြားကို အာဟာရပေးပါ။,增强免疫力，滋养皮肤。
บำรุงสตรีมีครรภ์ ก่อนและหลังคลอด,A,Supporting pregnant women before and after giving birth,គាំទ្រស្ត្រីមានផ្ទៃពោះមុន និងក្រោយពេលសម្រាលកូន,ການສະຫນັບສະຫນູນແມ່ຍິງຖືພາກ່ອນ ແລະ ພາຍຫຼັງຄອດລູກ,မီးဖွားမတိုင်မီနှင့် မီးဖွားပြီးနောက် ကိုယ်ဝန်ဆောင်အမျိုးသမီးများကို ထောက်ပံ့ပေးခြင်း,支持孕妇在分娩前后
ทาผิว และ บำรุงผม ,A,Apply to the skin and nourish the hair.,លាបលើស្បែក និងចិញ្ចឹមសក់។,ທາໃສ່ຜິວຫນັງແລະບໍາລຸງຜົມ.,အရေပြားပေါ်လိမ်းပြီး ဆံပင်ကို အာဟာရပေးပါ။,涂抹在皮肤上，滋养头发。
โปรตีนจากไข่ขาว,A,Egg white protein,ប្រូតេអ៊ីនស៊ុត,ໂປຣຕີນຂາວໄຂ່,ကြက်ဥဖြူ ပရိုတင်း,蛋白蛋白
โปรตีนจากถั่วเหลือง,A,Soy protein,ប្រូតេអ៊ីនសណ្តែក,ໂປຣຕີນຖົ່ວ,ပဲပရိုတင်း,大豆蛋白
บำรุงประสาท และ สมอง,A,Supports Nerves and Brain,គាំទ្រសរសៃប្រសាទ និងខួរក្បាល,ສະຫນັບສະຫນູນປະສາດແລະສະຫມອງ,နဗ်ကြောနှင့် ဦးနှောက်ကို ထောက်ပံ့ပေးသည်,支持神经与大脑
บำรุงฮอร์โมนเพศหญิง ลดอาการปวดประจำเดือน,A,Nourishes female hormones and reduces menstrual pain.,ចិញ្ចឹមអ័រម៉ូនស្ត្រី និងកាត់បន្ថយការឈឺចាប់រដូវ។,ບໍາລຸງຮອກໂມນຜູ້ຍິງແລະລົດຄວາມເຈັບປວດໃນປະຈໍາເດືອນ.,အမျိုးသမီးဟော်မုန်းကို အာဟာရပေးပြီး ရာသီလာနာကျင်မှုကို လျော့နည်းစေသည်။,滋养女性激素，减轻月经疼痛。
เสริมสร้างกล้ามเนื้อในร่างกาย,A,strengthens the muscles in the body;,ពង្រឹងសាច់ដុំនៅក្នុងរាងកាយ;,ເສີມສ້າງກ້າມເນື້ອໃນຮ່າງກາຍ;,ကိုယ်ခန္ဓာရှိ ကြွက်သားများကို ခိုင်ခံ့စေသည်။,强化身体肌肉;
บำรุงเลือด,A,nourishes the blood;,ចិញ្ចឹមឈាម;,ບໍາລຸງ ລ້ຽງ ເລືອດ;,သွေးကို အာဟာရပေးတယ်။,滋养血液;
ฆ่าเชื้อไวรัส,A,Disinfects viruses,សំលាប់មេរោគ,ຂ້າເຊື້ອໄວຣັດ,ဗိုင်းရပ်စ်ပိုးများကို ပိုးသတ်ဆေး,消毒病毒
ฆ่าเชื้อในทางเดินอาหาร,A,Disinfects the gastrointestinal tract.,សម្លាប់មេរោគលើផ្លូវក្រពះពោះវៀន។,ຂ້າເຊື້ອພະຍາດທາງເດີນອາຫານ.,အစာအိမ်လမ်းကြောင်းကို ပိုးသတ်ပေးသည်။,消毒胃肠道。
รักษาเริม,A,Herpes treatment,ការព្យាបាលដោយជំងឺហឺត,ການປິ່ນປົວພະຍາດ Herpes,Herpes ကုသမှု,疱疹治疗
รักษางูสวัด,A,Treatment of shingles,ការព្យាបាលជំងឺរលាកសន្លាក់,ການປິ່ນປົວພະຍາດໄຂ້ຫວັດ,အနာကြီးရောဂါ ကုသမှု,带状疱疹的治疗
รักอีสุกอีใส,A,Love chickenpox,ស្រឡាញ់ជំងឺអុតស្វា,ຮັກ ໄຂ້ຫວັດ,ရေကျောက်ရောဂါကို နှစ်သက်ခြင်း,我爱水痘
ลดอาการคันที่ผิวหนัง,A,Reduces itching on the skin.,កាត់បន្ថយការរមាស់នៅលើស្បែក។,ລົດຄວາມອັດສະຈັນຢູ່ເທິງຜິວຫນັງ.,အရေပြားပေါ်တွင် ယားယားခြင်းကို လျော့နည်းစေသည်။,减少皮肤瘙痒。
ลดอาการอักเสบที่ผิวหนัง,A,Reduces skin inflammation,កាត់បន្ថយការរលាកស្បែក,ຫລຸດຜ່ອນການອັກເສບຜິວຫນັງ,အရေပြားရောင်ရမ်းမှုကို လျော့နည်းစေ,减少皮肤炎症
ลดอาการอักเสบจากการแพ้,A,Reduces allergic inflammation,កាត់បន្ថយការរលាកអាឡែហ្ស៊ី,ຫລຸດຜ່ອນການອັກເສບຈາກອາການແພ້,ဓာတ်မတည့်ခြင်းရောင်ရမ်းမှုကို လျော့နည်းစေသည်,减少过敏性炎症
รักษากลาก/เกลื้อน,A,Treat eczema/tinea versicolor.,ព្យាបាលជំងឺស្បែក / tinea versicolor ។,ປິ່ນປົວ eczema/tinea versicolor.,အရေပြား/အကြောရောင်ကို ကုသပါ။,治疗湿疹/五斑癣。
รักษาน้ำกัดเท้า,A,Treatment of foot bite,ការព្យាបាលការខាំជើង,ການປິ່ນປົວຕີນກັດ,ခြေကိုက်ခြင်းကို ကုသခြင်း,脚咬伤的治疗
